"visits"	"complaints"	"residency"	"gender"	"revenue"	"hours"
"1"	2014	2	"Y"	"F"	263.03	1287.25
"2"	3091	3	"N"	"M"	334.94	1588
"3"	879	1	"Y"	"M"	206.42	705.25
"4"	1780	1	"N"	"M"	226.32	1005.5
"5"	3646	11	"N"	"M"	288.91	1667.25
"6"	2690	1	"N"	"M"	275.94	1517.75
"7"	1864	2	"Y"	"M"	295.71	967
"8"	2782	6	"N"	"M"	224.91	1609.25
"9"	3071	9	"N"	"F"	249.32	1747.75
"10"	1502	3	"Y"	"M"	269	906.25
"11"	2438	2	"N"	"F"	225.61	1787.75
"12"	2278	2	"N"	"M"	212.43	1480.5
"13"	2458	5	"N"	"M"	211.05	1733.5
"14"	2269	2	"N"	"F"	213.23	1847.25
"15"	2431	7	"N"	"M"	257.3	1433
"16"	3010	2	"Y"	"M"	326.49	1520
"17"	2234	5	"Y"	"M"	290.53	1404.75
"18"	2906	4	"N"	"M"	268.73	1608.5
"19"	2043	2	"Y"	"M"	231.61	1220
"20"	3022	7	"N"	"M"	241.04	1917.25
"21"	2123	5	"N"	"F"	238.65	1506.25
"22"	1029	1	"Y"	"F"	287.76	589
"23"	3003	3	"Y"	"F"	280.52	1552.75
"24"	2178	2	"N"	"M"	237.31	1518
"25"	2504	1	"Y"	"F"	218.7	1793.75
"26"	2211	1	"N"	"F"	250.01	1548
"27"	2338	6	"Y"	"M"	251.54	1446
"28"	3060	2	"Y"	"M"	270.52	1858.25
"29"	2302	1	"N"	"M"	247.31	1486.25
"30"	1486	1	"Y"	"F"	277.78	933.75
"31"	1863	1	"Y"	"M"	259.68	1168.25
"32"	1661	0	"N"	"M"	260.92	877.25
"33"	2008	2	"N"	"M"	240.22	1387.25
"34"	2138	2	"N"	"M"	217.49	1312
"35"	2556	5	"N"	"M"	250.31	1551.5
"36"	1451	3	"Y"	"F"	229.43	973.75
"37"	3328	3	"Y"	"M"	313.48	1638.25
"38"	2927	8	"N"	"M"	293.47	1668.25
"39"	2701	8	"N"	"M"	275.4	1652.75
"40"	2046	1	"Y"	"M"	289.56	1029.75
"41"	2548	2	"Y"	"M"	305.67	1127
"42"	2592	1	"N"	"M"	252.35	1547.25
"43"	2741	1	"Y"	"F"	276.86	1499.25
"44"	3763	10	"Y"	"M"	308.84	1747.5
"110"	3544	0	"Y"	"M"	272.367050265038	1936.85815318298
"210"	2167	0	"Y"	"M"	296.546767406303	2127.16197820038
"310"	3190	0	"Y"	"M"	213.746776906894	1050.99306612739
"410"	1671	0	"Y"	"M"	246.387417148176	1384.62764354533
"51"	1344	0	"Y"	"M"	290.33761595158	1411.39940319328
"61"	2626	0	"Y"	"M"	290.403437139066	1480.03167418732
"71"	1569	0	"Y"	"M"	205.886604936093	2125.24707543301
"81"	954	0	"Y"	"M"	276.16313432872	1676.77368544406
"91"	3424	0	"Y"	"M"	273.129415350578	1588.12348386128
"101"	1195	0	"Y"	"M"	299.005363270336	1372.59826872675
"111"	1643	0	"Y"	"M"	265.01831910156	2009.49679746779
"121"	3054	0	"Y"	"M"	270.090688622643	1906.41141744178
"131"	2348	0	"Y"	"M"	246.454258770717	1197.41350239864
"141"	1840	0	"Y"	"M"	245.668036478992	1073.92527889053
"151"	2378	0	"Y"	"M"	272.165395451949	1263.53686505861
"161"	2492	0	"Y"	"M"	243.721066330197	1197.16184691787
"171"	3256	0	"Y"	"M"	298.780992415425	1561.50053522542
"181"	1349	0	"Y"	"M"	232.923771390852	1222.90844246812
"191"	1800	0	"Y"	"M"	305.414908003692	1148.43715692024
"201"	3374	0	"Y"	"M"	255.632410673517	1657.89236048451
"211"	1555	0	"Y"	"M"	342.8606777371	1212.18919432768
"221"	2185	0	"Y"	"M"	294.591131898432	932.016106508677
"231"	972	0	"Y"	"M"	311.614938110112	1070.71291265101
"241"	1566	0	"Y"	"M"	260.667196748385	1707.1468958568
"251"	2574	0	"Y"	"M"	259.43836216282	1449.87380293616
"261"	2390	0	"N"	"F"	219.95276550625	1759.54160949413
"271"	2445	0	"N"	"F"	243.416895611591	1156.76934900343
"281"	3077	0	"N"	"F"	224.250626579971	1114.29186225978
"291"	2908	0	"N"	"F"	257.877828523434	1065.61327228869
"301"	3745	0	"N"	"F"	246.11944681795	2269.07263951725
"311"	983	0	"N"	"F"	309.381505281912	1293.86949399108
"321"	1590	0	"N"	"F"	244.113942935338	2047.3171986536
"331"	2744	0	"N"	"F"	305.477744524443	2244.42979312181
"341"	2842	0	"N"	"F"	261.173433799423	1784.30012223464
"351"	1243	0	"N"	"F"	276.861801252982	1488.33555749341
"361"	1343	0	"N"	"F"	288.049186016583	1657.44604863988
"371"	3426	0	"N"	"F"	298.399486495276	1990.45875900564
"381"	1960	0	"N"	"F"	271.532599292081	1317.51647200527
"391"	1473	0	"N"	"F"	261.918321771226	1423.5555676706
"401"	2247	0	"N"	"F"	284.087099259688	1287.26771717594
"411"	1857	0	"N"	"F"	269.420982331403	994.9163153524
"421"	2296	0	"N"	"F"	268.679094300709	1906.79305687932
"431"	1390	0	"N"	"F"	283.466018585345	1296.32368312808
"441"	1820	0	"N"	"F"	203.892840563721	1551.71930638206
"45"	2566	0	"N"	"F"	229.181415791243	1710.90098547457
"46"	935	0	"N"	"F"	270.069574047544	1054.38571513769
"47"	949	0	"N"	"F"	264.401578491535	1511.52146655579
"48"	2519	0	"N"	"F"	244.46979397082	2111.46231670648
"49"	2757	0	"N"	"F"	295.237083445573	1758.24830579158
"50"	2896	0	"N"	"F"	257.029438875166	1151.30899828534
